ID,Category,Title,Status,Context,Decision,Consequences,Authored by,Date logged
1,AWS Landing Zone,Account Structure,Accepted,"Lendscape has multiple clients and each of this clients will belong in different tiers. Client tierings depends on the type of subscription that a client has with Lendscape. Wherein Tier 1, which is the highest offering, provides a purely dedicated server and application (e.g. Application, Database, etc.) for the specific client. And Tier 2, provides a very similar architecture with Tier 1 in terms of VM deployment with the main difference being that this tier runs on shared physical hardware with the next tier. While Tier 3, uses a shared server, application and database with other customers.",To use a multi-account structure in AWS,"To achieve, an AWS account structure that can organize the account groupings and isolation of different functionalities that will be used by the whole AWS environment.

While accepting, added complexities of having to maintain numerous AWS accounts including the billing management of shared account resources.",Jasper Meneses,12-Feb-24
2,AWS Landing Zone,AWS Control Tower,Accepted,Lendscape agreed to use a multi-account structure in AWS to onboard their clients in its own created AWS accounts or a shared ones depending on the customer subscription. Lendscape does not have extensive knowledge of Control Tower and Terraform. ,To use AWS Control Tower with account factory for Terraform customizations,"To achieve, ease of provisioning of new accounts with set customized standards via an automated pipeline made from Terraform. And with Control Tower's pre-configured landing zone, it will be easier to govern the multi-account structure.

While accepting, the use of Terraform which Lendscape does not have extensive knowledge of and introduction of potential operational overhead by the use of AWS Control tower controls.",Jasper Meneses,12-Feb-24
3,Infrastructure,Terraform infrastructure deployment,Accepted,Cloud Bridge has proposed the use of Terraform to automate the deployment of infrastructure needed to run Lendscape's application. Cloud Bridge has extensive knowledge of Terraform while Lendscape does not have prior experience in using Terraform.,To use Terraform to automate the deployment of infrastructure in Lendscape's AWS account,"To achieve, automation of infrastructure deployment of Lendscape's application to avoid possible human error when trying to do it manually. And to leverage the extensive code library of Terraform for AWS.

While accepting, the possible learning curve that Lendscape will encounter in using Terraform and added operational overhead of having to maintain the Terraform code.",Jasper Meneses,12-Feb-24
4,Networking,Lendscape IP schema,Accepted,"Lendscape requires to have an IP schema that can accommodate all current and future customers that they have, which they are envisioning to be reaching 50+ in the near future, in AWS. This should not overlap with their current IP schema that they are using on-premise. The number of AWS resources that will get created per account varies per tier, environment and the types of application that a specific customer will use.","To use a /16 IP CIDR for the whole AWS environment that will get divided for each Lendscape customer's AWS account, different AWS core and shared accounts, with different subnet layer for two availability zones.","To achieve, a big enough size of usable IPs (65,000+ IPs) to be used in the whole AWS environment.

While accepting, that the IP CIDR allocation should be carefully planned and with considerations of future growth because a VPC structure is difficult to change. And that using only two availability zones offers less availability for the AWS resources.",Jasper Meneses,12-Feb-24
5,Infrastructure,EC2 for Lendscape's software application,Accepted,"Lendscape is using numerous software application to run their business. These software applications composition also varies for each of their customers, for a specific customer may use different combinations of applications different to one another. The software applications all runs on Windows.",To use EC2 instances that are in at least 2 machines running and spread across two availability zones fronted by NGINX.,"To achieve, flexibility and customisability of running the software applications that will meet different customer requirements. And to have a highly-available setup to avoid single point of failure.

While accepting, additional overhead of having to maintain the instances' patches, security, application maintenance, monitoring and other maintenance work needed for the EC2 instances. And manual scaling of the servers when performance demands.",Jasper Meneses,12-Feb-24
6,Infrastructure,EC2 for Lendscape's database,Accepted,Lendscape is using Microsoft SQL Server as their database backend with a failover cluster instance in-place for HA setup.,To use EC2 instances with SQL Server Enterprise license included and a SQL FCI setup,"To achieve, ease of adaptability because of prior experience of Lendscape in managing a Microsoft SQL Server in VM. And cheaper cost compared to Amazon RDS for SQL Server.

While accepting, additional overhead of having to maintain the instances' patches, security, application maintenance, monitoring and other maintenance work needed for the EC2 instances. And added complexity of auomating the installation and setup of SQL Failover cluster instance.",Jasper Meneses,12-Feb-24
7,Infrastructure,EC2 for NGINX,Superseded,Lendscape is currently using nginx+ version and needs to apply the same configuration in the cloud as they have currently on premise.,To use EC2 instances with a subscription to nginx+ from AWS Marketplace,"To achieve, easy of adaptability because of their prior experience and to favor the reusability of their current configuration",Jasper Meneses,12-Feb-24
8,Infrastructure,AWS Managed Microsoft AD for OS authentication,Superseded,"Lendscape requires to have an Active Directory for server domain join and OS authentication in AWS. They have an existing AD that they use on premise, and an Azure AD. Lendscape wanted to have a new Active Directory to use in AWS. Currently, Lendscape plans to use this AD as standalone and no integration or connection to other AD. But in the future, there might have plans to establish forest trust in the On-premise AD.",To use AWS Managed Microsoft AD that will be created in a central AWS account (Shared services account) and with directory sharing created to the other AWS accounts in Lendscape's LZ,"To achieve, ease of setup and maintenance because of the managed services offering of AWS. Can be easily integrated to other AWS accounts by directory sharing. And with Multi-AZ provisioning for the domain controller to avoid single point of failure.

While accepting, limited AD configurations like lack of enterprise admin access. Dependency on AWS dashboard to perform AD maintenance and configuration. And cost considerations, for it is more expensive than having a self-hosted AD.",Jasper Meneses,12-Feb-24
9,Infrastructure,AWS Managed Microsoft AD for OS authentication,Accepted,"Lendscape will have to upgrade to an enterprise subscription of AWS Managed Microsoft AD to be able to replicate the directory to another AWS region (APAC) where they have to onboard some of their customers. The cost of an enterprise subscription is something that they have to consider for it is a very expensive just for the use of the multi-region AD, organization size is not in an enterprise level so the added AD objects and other features will also be a waste. Add to the fact that the AD will also need to be shared across possibly 50+ AWS accounts and each directory sharing has a per-hour cost.","To use standard edition AWS Directory Service for Microsoft Active Directory in a central account that will be shared to other account without the use of directory sharing. With the use of transit gateway with the correct routing, firewall and security group rules in place, we'd be able to by pass the AD route to other account without the use of directory sharing.","To achieve, a cheaper cost of using the standard subscription of AWS Managed Microsoft AD while still being able to share the AD properly to other accounts.

While accepting, added complexity of performing the workaround of directory sharing and developing scripts needed to join/unjoin instances to the domain in another accounts. And still having to figure out how will it be possible to share cross-region.",Jasper Meneses,12-Feb-24
10,Infrastructure,Use of Amazon FSx for Windows for SQL FCI,Accepted,Lendscape will need a file share to use for SQL FCI File-share witness. Amazon FSx for windows is commonly used as file-share witness when forming SQL FCI.,To use Amazon FSx for Windows with Single-AZ as file-share witness in SQL FCI,"To achieve, lessen operational overhead of maintaining a file-share server as it is maintained by the AWS itself. Ease of use and integration with EC2 instances.

While accepting, a single-AZ FSx that offers lower availability compared to a multi-AZ deployment.",Jasper Meneses,12-Feb-24
11,Infrastructure,Use of Amazon FSx for Netapp for SQL File storage,Accepted,"Lendscape found that the Amazon FSx for Windows costly for the Multi-AZ setup, so they went for the cheaper option of Amazon FSx. They also have a base latency requirements for the file share performance.",To use Amazon FSx for Netapp Ontap with Multi-AZ as storage layer for SQL,"To achieve, the cheaper option for FSx, which is the Netapp Ontap, and proved to perform better than the Windows FSx based on performance testing done by Lendscape.

While accepting, the complexity of use with the Storage virtual machines and volumes mounting and maintenance, compared to Amazon FSx for Windows.",Jasper Meneses,12-Feb-24
12,Devops,CICD tools and pipeline,Accepted,Lendscape will need a CICD pipeline/tools to deploy application code to client accounts. The CICD tools will need to be in a central account where it can access all other client accounts for central management of deployment pipelines. Jenkins is what Lendscape is using in their previous environment so they have prior experience in using Jenkins.,"To create a new AWS account specifically for CICD toolings, this account will have access to all client accounts and be able to deploy application code from this account. To use Jenkins for CICD pipeline installed in EC2 instances.","To achieve, a CICD deployment pipeline and tools that Lendscape has experience on. Central account for managing all deployment pipelines.

While accepting, the additional overhead of maintaining the Jenkins application and the EC2 instance itself. And vendor lock in for the features that Jenkins offers.",Jasper Meneses,12-Feb-24
13,Infrastructure,Nginx as a Shared Resource,Accepted,"Due to cost considerations from Nginx Plus in AWS marketplace, Lendscape has considered to move the Nginx / DMZ infrastructure from a distributed approach for T1 and T2 clients, and to shared resource for T3 clients, into a full complete shared resource used by all client base.",To move Nginx and DMZ into a shared resource infrastructure within Network account,"To achieve, cost savings for the Nginx usage will higher vs. the distributed approach. This will also be similar to current onpremise implementation.

While accepting, Terraform code has to be updated, moving DMZ modules from client resource into ancillary. Planning of IP space, Configuration Management, routing, and strategy for resource exposure should also be planned.",Mark Cahinde,15-Feb-24
14,AWS Landing Zone,One AWS Account for each Domain,Accepted,"A Domain in Lendscape space can be equivalent to PROD, TEST, or DR. This is similarly known as Environment names. Lendscape has their environments under each Domain to cover the multiple environment approach their client has, and to completely set the demarcation line between live and non-live resources.",To use one AWS account per Domain present for the onboarded clients,"To achieve, is a simpler and organized approach, and is not very far from the original Organization proposal by Cloud Bridge. It imposes complete control and governance for each Domain.

While accepting, it is to be noted that Domains are not to be confused with Environments. Furthermore, higher environment like pre-prod is considered a part of PROD domain due to likelyness to production as opposed to being part of TEST domain being it non-live.",Mark Cahinde,15-Feb-24
15,AWS Landing Zone,Keep Network Architecture for APAC,Accepted,"Lendscape operates in multiple regions currently and would reflect as is in the AWS Landing Zone. APAC region as of Feb-24 will only be moving 2 T3 clients into AWS space, engaging with the question of whether it is economical or practical to keep the architecture the same as in EMEA.",To use Sydney region for APAC customers of Lendscape HMS,"To achieve, a more similar regional presence will continue, simplifying admin and management from development and operational perspective.

While accepting, motivations to reduce size further down the line can complicate set up and introduce additional effort to re-architecture for cost savings.",Mark Cahinde,15-Feb-24
16,AWS Landing Zone,Scale Down Management Layer for APAC,Open,"APAC region as of Feb-24 will only be moving 2 T3 clients into AWS space, engaging with the question of whether it is economical or practical to keep the architecture the same as in EMEA.","To reduce operational costs in the region, some management layer components will be scaled down for APAC","To achieve, cost savings for Management Layer is introduced within the region, which is the more adjustable aspect in reducing scale of the infrastructure.

While accepting, scaling up for the future has to be considered in terms of cost, size, and business drivers.",Mark Cahinde,15-Feb-24
17,Networking,Cross Account Bucket Access,Open,A bucket has been requested to be created in CICD account that will be shared among client accounts for the purpose of holding FCR atifacts. To establish connectivity from client accounts to public S3 endpoint a network change / addition is required. ,This can be achieved by adding gateway endpoint directly to APP-VPC or create an Interface Endpoint we can allow on the Central Egress if traffic monitoring is utmost priority.,"To attain cost savings, it is sufficient to employ a gateway endpoint, as this service is provided for free by AWS. However, if prioritizing security is crucial and the ability to monitor all traffic by directing it to a central egress is necessary, then the use of an Interface endpoint is recommended.",Krizia Mallari,15-Feb-24
18,AppStream POC,Serverless Design,Accepted,Cloud Bridge provided 3 different designs to Lendscape. One serverless saas portal using Cognito and two using iDP and AD,Due to Lendscape's requirements (no iDP and AD usage) the serverless design with a saas basic portal using Cognito to login and encapsulating client users was selected by Lendscape,"To achieve, user base isolation, future MFA, simplicity and allowing Lendscape to offer their desktop client without using their internal VPN",Marcos Ginel,15-Feb-24
