ID,Category,Title,Status,Initiator,Context,Decision,Positive Consequences,Negative Consequences,
1,AWS Landing Zone,Account Structure,Accepted,Cloud Bridge,We have proposed multiple Account Structure for the AWS Landing Zone,Lendscape decided to go with the Vertical Account Structure with HMS Decoupled,"* Shared Resources:
* Consistent Policies","1.	Lack of Isolation
2.	Lack of Customization
3.	Limited Scalability
4.	Customer Impact",
2,Networking,IP CIDR Structure,Open,Cloud Bridge,Choose IP CIDR to be used for the HMS Client Infrastructure,Pending decision from Lendscape to provide the CIDR ranges,,,
3,Networking,Ingress,Accepted,Cloud Bridge,We have proposed a Centralised or Distributed Edge to implement for the architecture,Lendscape preferred Centralised Edge for now due to cost of maintaining full Distributed,"* Shared Resources:
* Consistent Policies",* Single Point of Failure,
4,Compute,EC2 Sizes per Tier,Open,Cloud Bridge,"We have created a reference architecture showing sizes of instances per Tier. This is based on Assess Analysis Document shared during initial phases, plus knowledge of Lendscape architecture",Lendscape noted of the similarity between Tier 3 and Tier 2 sizing and cost,,,
5,Active Directory,AWS Managed Microsoft AD for OS authentication,Superseded,Cloud Bridge,"Lendscape requires to have an Active Directory for server domain join and OS authentication in AWS. They have an existing AD that they use on premise, and an Azure AD.","* Lendscape wanted to have a new Active Directory to use in AWS. Currently, we plan to use this AD as standalone and no integration or connection to other AD. But in the future, there might have plans to establish forest trust in the On-premise AD.
* The AWS Managed AD will be provisioned in a central AWS account (Shared services account) and will be shared to the other AWS accounts in Lendscape's LZ","* Easy to setup as it is a managed service and less operational overhead.
* Ready for integration to on-premise AD
* Highly available setup","* More costly than the traditional Microsoft AD servers.
* Limited customization. Depending on the use case, the AWS Managed AD offers less flexibility than the traditional Microsoft AD servers.",
6,Pilot,EC2 for instances and database,Accepted,Cloud Bridge,"Due to limitations due to short delivery times, for the pilot phase, we will focus on testing that the workloads work on AWS on the designed basic infrastructure.","A ""lift & shift"" without block-replication will be done with test data on empty EC2 instances with Windows and Windows SQL Server.","* Easy to setup.
* Ready for integration to on-premise AD
* This will allow Cloud Bridge to shadow building and installation process ",* We will not be testing the linux re-platforming,
7,Pilot,Building and Installation of software,Accepted,Cloud Bridge,"Cloud Bridge has conducted an analysis and basic migration from powershell to bash scripting, but lot of details are unknown for Cloud Bridge in order to automate the process",Cloud Bridge will shadow Lendscape tech team during the building and installation in AWS EC2 instances (Windows) of the software,"* Quickest way to have a pilot working
* Knowledge transfer",* Success of pilot phase depends on customer availability.,
8,Pilot,Nginx on EC2 instances,Accepted,Cloud Bridge,"Due to limitations due to short delivery times, for the pilot phase, we will focus on testing that the workloads work on AWS on the designed basic infrastructure.",Cloud Bridge will build empty linux boxes with nginx and customer will configure them,"* Quickest way to have a pilot working
* Knowledge transfer","* Nginx features are not fully supported just by using ALB, so we need to find the right combination of AWS Services",
9,Pilot,RDS Custom to be applied after pilot phase,Rejected,Lendscape,"DSP has recommended this approach for DB in order to be able to support in RDS PostgreSQL, all the features customer requires from SQL Server. Updated: At the moment, Lendscape is not going to implement RDS Custom",Decision rejected at the moment as Lendscape is progressing on using current SQL Server clusters on EC2,"* In theory, RDS Custom will implement everything required","* We don’t have expertise on RDS Custom
* Features/Limitations unknown",
10,Pilot,HA for SQL Servers,Accepted,Lendscape,Lendscape currently doesn’t have HA at the DB layer,"Lendscape wants Cloud Bridge to set up an Always On HA SQL Cluster. Cloud Bridge can only offer help and some AWS official guides, so Lendscape will do the work with CB assitance",* HA for the pilot phase,"* CB not experts at SQL Server
* Work to be discarded if we move to RDS Custom",
11,Pilot,Pilot scope in terms of system outputs,Accepted,Lendscape,Definition of what is the customer type to be onboarded and what the application should contain,Justin has proposed to have dummy data on the pilot infrastructure and application and then perform a security analysis before on board an actual customer,"* Easy to setup.
* Ready for integration to on-premise AD
* Security posture improved from the beginning ",,
